Fecha,Hora,SO2,NOx,NO2,O3,CO,PM10,PM25
2019-01-02,10:00 - 11:00,,0.052,0.031,0.001,0.94,64.0,6.0
2019-01-02,11:00 - 12:00,,0.052,0.008,0.003,0.52,52.0,15.0
2019-01-02,12:00 - 13:00,,0.052,0.006,0.006,0.44,29.0,13.0
2019-01-02,13:00 - 14:00,,0.052,0.007,0.009,0.46,33.0,15.0
2019-01-02,14:00 - 15:00,,0.052,0.008,0.012,0.46,37.0,15.0
2019-01-02,17:00 - 18:00,,0.052,0.019,0.013,280.21,61.0,10.0
2019-01-02,18:00 - 19:00,,0.052,0.025,0.008,782.13,58.0,1.0
2019-01-02,19:00 - 20:00,,0.052,0.032,0.003,1170.95,80.0,1.0
2019-01-02,20:00 - 21:00,,0.052,0.025,0.001,1718.64,99.0,1.0
2019-01-02,21:00 - 22:00,,0.052,0.019,0.001,2109.21,131.0,1.0
2019-01-02,22:00 - 23:00,,0.052,0.017,0.001,2246.11,143.0,1.0
2019-01-02,23:00 - 0:00,,0.052,,,,,
2019-01-02,0:00 - 1:00,,0.052,,,,,
2019-01-02,1:00 - 2:00,,0.052,,,,,
2019-01-02,2:00 - 3:00,,0.052,,,,,
2019-01-02,3:00 - 4:00,,0.052,,,,,
2019-01-02,4:00 - 5:00,,0.052,,,,,
2019-01-02,5:00 - 6:00,,0.052,,,,,
2019-01-02,6:00 - 7:00,,0.052,,,,,
2019-01-02,7:00 - 8:00,,0.052,,,,,
2019-01-02,8:00 - 9:00,,0.052,,,,,
2019-01-02,9:00 - 10:00,,0.052,,,,,
2019-01-02,15:00 - 16:00,,0.052,,,,,
2019-01-02,16:00 - 17:00,,0.052,,,,,
2019-01-03,10:00 - 11:00,,0.06,0.007,0.001,1.08,71.0,25.0
2019-01-03,11:00 - 12:00,,0.06,0.012,0.002,0.97,57.0,20.0
2019-01-03,12:00 - 13:00,,0.06,0.005,0.006,0.66,54.0,24.0
2019-01-03,13:00 - 14:00,,0.06,0.002,0.013,0.61,32.0,15.0
2019-01-03,14:00 - 15:00,,0.06,0.006,0.015,0.61,36.0,19.0
2019-01-03,17:00 - 18:00,,0.06,0.02,0.015,0.83,40.0,18.0
2019-01-03,18:00 - 19:00,,0.06,0.028,0.005,1.01,66.0,31.0
2019-01-03,19:00 - 20:00,,0.06,0.014,0.002,0.98,85.0,32.0
2019-01-03,20:00 - 21:00,,0.06,0.007,0.001,2.24,83.0,29.0
2019-01-03,21:00 - 22:00,,0.06,0.008,0.001,2.15,145.0,43.0
2019-01-03,22:00 - 23:00,,0.06,0.009,0.001,2.36,150.0,50.0
2019-01-03,23:00 - 0:00,,0.06,0.018,0.001,2006.93,194.0,1.0
2019-01-03,0:00 - 1:00,,0.06,0.014,0.002,1488.62,139.0,1.0
2019-01-03,1:00 - 2:00,,0.06,0.017,0.002,1062.15,110.0,1.0
2019-01-03,2:00 - 3:00,,0.06,0.017,0.001,719.27,59.0,1.0
2019-01-03,3:00 - 4:00,,0.06,0.015,0.001,649.89,60.0,1.0
2019-01-03,4:00 - 5:00,,0.06,0.018,0.001,633.78,56.0,1.0
2019-01-03,5:00 - 6:00,,0.06,0.019,0.001,534.48,76.0,1.0
2019-01-03,6:00 - 7:00,,0.06,0.009,0.001,655.02,68.0,1.0
2019-01-03,7:00 - 8:00,,0.06,0.006,0.001,895.06,65.0,1.0
2019-01-03,8:00 - 9:00,,0.06,0.009,0.001,1236.98,81.0,1.0
2019-01-03,9:00 - 10:00,,0.06,0.01,0.001,693.08,93.0,8.0
2019-01-03,15:00 - 16:00,,0.06,0.007,0.017,0.6,44.0,16.0
2019-01-03,16:00 - 17:00,,0.06,0.011,0.014,0.7,47.0,23.0
2019-01-04,10:00 - 11:00,,0.054,0.016,0.001,1.35,79.0,31.0
2019-01-04,11:00 - 12:00,,0.054,0.007,0.002,1.05,60.0,23.0
2019-01-04,12:00 - 13:00,,0.054,0.004,0.006,0.63,35.0,25.0
2019-01-04,13:00 - 14:00,,0.054,0.002,0.009,0.66,21.0,13.0
2019-01-04,14:00 - 15:00,,0.054,,,,,
2019-01-04,17:00 - 18:00,,0.054,,,,,
2019-01-04,18:00 - 19:00,,0.054,,,,,
2019-01-04,19:00 - 20:00,,0.054,,,,,
2019-01-04,20:00 - 21:00,,0.054,,,,,
2019-01-04,21:00 - 22:00,,0.054,,,,,
2019-01-04,22:00 - 23:00,,0.054,,,,,
2019-01-04,23:00 - 0:00,,0.054,0.013,0.002,1.98,167.0,64.0
2019-01-04,0:00 - 1:00,,0.054,0.015,0.002,1.91,135.0,70.0
2019-01-04,1:00 - 2:00,,0.054,0.022,0.002,1.63,120.0,73.0
2019-01-04,2:00 - 3:00,,0.054,0.024,0.002,1.48,139.0,72.0
2019-01-04,3:00 - 4:00,,0.054,0.012,0.002,1.17,107.0,60.0
2019-01-04,4:00 - 5:00,,0.054,0.008,0.002,1.09,84.0,53.0
2019-01-04,5:00 - 6:00,,0.054,0.005,0.001,1.07,57.0,42.0
2019-01-04,6:00 - 7:00,,0.054,0.009,0.002,1.18,88.0,41.0
2019-01-04,7:00 - 8:00,,0.054,0.008,0.002,1.35,110.0,46.0
2019-01-04,8:00 - 9:00,,0.054,0.009,0.001,1.37,100.0,35.0
2019-01-04,9:00 - 10:00,,0.054,0.011,0.001,1.29,70.0,17.0
2019-01-04,15:00 - 16:00,,0.054,,,,,
2019-01-04,16:00 - 17:00,,0.054,,,,,
2019-01-07,10:00 - 11:00,,0.008,0.005,0.004,0.63,64.0,22.0
2019-01-07,11:00 - 12:00,,0.008,,,,,
2019-01-07,12:00 - 13:00,,0.008,,,,,
2019-01-07,13:00 - 14:00,,0.008,-9.999,-9.999,-9999.0,-9999.0,-9999.0
2019-01-07,14:00 - 15:00,,0.008,0.006,0.011,0.6,41.0,4.0
2019-01-07,17:00 - 18:00,,0.008,0.006,0.013,0.7,62.0,28.0
2019-01-07,18:00 - 19:00,,0.008,0.008,0.006,0.75,58.0,14.0
2019-01-07,19:00 - 20:00,,0.008,0.002,0.005,0.72,67.0,15.0
2019-01-07,20:00 - 21:00,,0.008,-0.001,0.009,0.65,86.0,16.0
2019-01-07,21:00 - 22:00,,0.008,0.0,0.015,0.63,74.0,12.0
2019-01-07,22:00 - 23:00,,0.008,-0.001,0.016,0.61,69.0,14.0
2019-01-07,23:00 - 0:00,,0.008,,,,,
2019-01-07,0:00 - 1:00,,0.008,,,,,
2019-01-07,1:00 - 2:00,,0.008,,,,,
2019-01-07,2:00 - 3:00,,0.008,,,,,
2019-01-07,3:00 - 4:00,,0.008,,,,,
2019-01-07,4:00 - 5:00,,0.008,,,,,
2019-01-07,5:00 - 6:00,,0.008,,,,,
2019-01-07,6:00 - 7:00,,0.008,,,,,
2019-01-07,7:00 - 8:00,,0.008,,,,,
2019-01-07,8:00 - 9:00,,0.008,,,,,
2019-01-07,9:00 - 10:00,,0.008,,,,,
2019-01-07,15:00 - 16:00,,0.008,0.01,0.021,0.64,50.0,13.0
2019-01-07,16:00 - 17:00,,0.008,0.009,0.022,0.67,50.0,25.0
2019-01-08,10:00 - 11:00,,0.031,0.013,0.002,1.09,37.0,17.0
2019-01-08,11:00 - 12:00,,0.031,0.013,0.003,1.04,90.0,36.0
2019-01-08,12:00 - 13:00,,0.031,0.003,0.008,0.65,49.0,28.0
2019-01-08,13:00 - 14:00,,0.031,0.003,0.012,0.6,17.0,17.0
