Fecha,Hora,SO2,NOx,NO2,O3,CO,PM10,PM25
2019-01-07,14:00 - 15:00,0.0164083967625418,-9.999,-9.999,0.054,,37.0,15.0
2019-01-07,15:00 - 16:00,0.0078464156971608,-9.999,0.0,0.053,0.0,39.0,21.0
2019-01-07,16:00 - 17:00,0.0068559485714285,-9.999,0.0,0.052,0.0,34.0,10.0
2019-01-07,17:00 - 18:00,1.13972111111e-05,-9.999,0.0,0.047,0.0,37.0,1.0
2019-01-07,18:00 - 19:00,0.0001293183388888,-9.999,0.0,0.034,0.0,39.0,19.0
2019-01-07,19:00 - 20:00,8.10968388888e-05,-9.999,0.0,0.036,0.0,64.0,9.0
2019-01-07,20:00 - 21:00,6.84241527777e-05,-9.999,0.0,0.047,0.0,58.0,19.0
2019-01-07,21:00 - 22:00,4.28843416666e-05,-9.999,0.0,0.048,0.0,51.0,21.0
2019-01-07,22:00 - 23:00,1.59001472222e-05,-9.999,0.0,0.045,0.0,36.0,12.0
2019-01-07,23:00 - 0:00,,-9.999,,,,,
2019-01-07,0:00 - 1:00,,-9.999,,,,,
2019-01-07,1:00 - 2:00,,-9.999,,,,,
2019-01-07,2:00 - 3:00,,-9.999,,,,,
2019-01-07,3:00 - 4:00,,-9.999,,,,,
2019-01-07,4:00 - 5:00,,-9.999,,,,,
2019-01-07,5:00 - 6:00,,-9.999,,,,,
2019-01-07,6:00 - 7:00,,-9.999,,,,,
2019-01-07,7:00 - 8:00,,-9.999,,,,,
2019-01-07,8:00 - 9:00,,-9.999,,,,,
2019-01-07,9:00 - 10:00,,-9.999,,,,,
2019-01-07,10:00 - 11:00,,-9.999,,,,,
2019-01-07,11:00 - 12:00,,-9.999,,,,,
2019-01-07,12:00 - 13:00,,-9.999,,,,,
2019-01-07,13:00 - 14:00,,-9.999,,,,,
2019-01-08,14:00 - 15:00,6.71884916666e-05,0.0,0.0,0.082,0.0,25.0,10.0
2019-01-08,15:00 - 16:00,0.000374022225,0.0,0.0,0.086,0.0,38.0,18.0
2019-01-08,16:00 - 17:00,0.000146410475,0.0,0.0,0.084,0.0,53.0,25.0
2019-01-08,17:00 - 18:00,0.0005491551,0.0,0.0,0.069,0.0,57.0,17.0
2019-01-08,18:00 - 19:00,0.0005411448138888,0.0,0.0,0.037,0.0,52.0,22.0
2019-01-08,19:00 - 20:00,0.0002930586472222,0.0,0.0,0.017,0.0,97.0,37.0
2019-01-08,20:00 - 21:00,1.63388861111e-05,0.0,0.0,-0.005,0.0,115.0,50.0
2019-01-08,21:00 - 22:00,0.0001517307777777,0.0,0.0,-0.008,0.0,90.0,35.0
2019-01-08,22:00 - 23:00,0.0001422012194444,0.0,0.0,-0.004,0.0,66.0,25.0
2019-01-08,23:00 - 0:00,4.54141722222e-05,0.0,0.0,0.045,0.0,40.0,24.0
2019-01-08,0:00 - 1:00,2.1705166666e-06,0.0,0.0,0.038,0.0,38.0,7.0
2019-01-08,1:00 - 2:00,0.0,0.0,0.0,0.035,0.0,30.0,12.0
2019-01-08,2:00 - 3:00,4.6783083333e-06,0.0,0.0,0.023,0.0,34.0,3.0
2019-01-08,3:00 - 4:00,0.0,0.0,0.0,0.016,0.0,28.0,10.0
2019-01-08,4:00 - 5:00,0.0,0.0,0.0,0.026,0.0,23.0,3.0
2019-01-08,5:00 - 6:00,0.0068000954623955,0.0,0.0,0.013,0.0,28.0,16.0
2019-01-08,6:00 - 7:00,4.56422388888e-05,0.0,0.0,-0.007,0.0,27.0,10.0
2019-01-08,7:00 - 8:00,0.0002699700305555,0.0,0.0,-0.008,0.0,48.0,21.0
2019-01-08,8:00 - 9:00,0.0029045828611111,0.0,0.0,0.003,0.0,46.0,15.0
2019-01-08,9:00 - 10:00,0.0082724917055555,0.0,0.0,0.004,0.0,73.0,19.0
2019-01-08,10:00 - 11:00,0.0059851926944444,0.0,0.0,0.009,0.0,107.0,22.0
2019-01-08,11:00 - 12:00,0.0026096655916666,0.0,0.0,0.044,0.0,82.0,25.0
2019-01-08,12:00 - 13:00,0.0069874930724234,0.0,0.0,0.063,0.0,74.0,35.0
2019-01-08,13:00 - 14:00,2.78829916666e-05,0.0,0.0,0.072,0.0,35.0,18.0
2019-01-09,14:00 - 15:00,0.000394297675,0.0,0.0,0.062,0.0,39.0,18.0
2019-01-09,15:00 - 16:00,0.0075920708676923,0.0,0.0,0.057,0.0,27.0,12.0
2019-01-09,16:00 - 17:00,5.34113194444e-05,0.0,-9.999,-9.999,-9999.0,38.0,15.0
2019-01-09,17:00 - 18:00,0.0001568943555555,0.0,-9.999,-9.999,-9999.0,49.0,13.0
2019-01-09,18:00 - 19:00,1.82844638888e-05,0.0,-9.999,0.017,-9999.0,49.0,24.0
2019-01-09,19:00 - 20:00,1.47340888888e-05,0.0,-9.999,-9.999,-9999.0,70.0,21.0
2019-01-09,20:00 - 21:00,1.99182111111e-05,0.0,-9.999,-9.999,-9999.0,60.0,29.0
2019-01-09,21:00 - 22:00,7.5904638888e-06,0.0,-9.999,-9.999,-9999.0,38.0,16.0
2019-01-09,22:00 - 23:00,3.46538888888889e-07,0.0,-9.999,0.006,-9999.0,22.0,4.0
2019-01-09,23:00 - 0:00,4.03874416666e-05,0.0,0.0,0.002,0.0,46.0,16.0
2019-01-09,0:00 - 1:00,4.36137638888e-05,0.0,0.0,-0.01,0.0,55.0,16.0
2019-01-09,1:00 - 2:00,3.04664916666e-05,0.0,0.0,-0.007,0.0,77.0,34.0
2019-01-09,2:00 - 3:00,0.0001026719194444,0.0,0.0,-0.005,0.0,45.0,12.0
2019-01-09,3:00 - 4:00,0.0,0.0,0.0,-0.009,0.0,59.0,15.0
2019-01-09,4:00 - 5:00,0.0,0.0,0.0,-0.001,0.0,42.0,12.0
2019-01-09,5:00 - 6:00,9.6086333333e-06,0.0,0.0,-0.01,0.0,41.0,15.0
2019-01-09,6:00 - 7:00,0.000199867625,0.0,0.0,-0.011,0.0,111.0,43.0
2019-01-09,7:00 - 8:00,0.0004477632972222,0.0,0.0,-0.01,0.0,87.0,32.0
2019-01-09,8:00 - 9:00,0.0021169133638888,0.0,0.0,-0.005,0.0,68.0,23.0
2019-01-09,9:00 - 10:00,0.0031383877083333,0.0,0.0,0.01,0.0,76.0,26.0
2019-01-09,10:00 - 11:00,0.0014217392777777,0.0,0.0,0.02,0.0,60.0,12.0
2019-01-09,11:00 - 12:00,0.0009172414361111,0.0,0.0,0.03,0.0,59.0,21.0
2019-01-09,12:00 - 13:00,0.0016058173388888,0.0,0.0,0.057,0.0,55.0,25.0
2019-01-09,13:00 - 14:00,0.0007841980916666,0.0,0.0,0.071,0.0,62.0,30.0
2019-01-10,14:00 - 15:00,0.0002630418777777,-9.999,0.0,0.039,0.0,25.0,10.0
2019-01-10,15:00 - 16:00,0.0002463264027777,-9.999,0.0,0.033,0.0,21.0,9.0
2019-01-10,16:00 - 17:00,0.0001369960333333,-9.999,0.0,0.03,0.0,21.0,12.0
2019-01-10,17:00 - 18:00,2.4414925e-05,-9.999,0.0,0.0,0.0,23.0,12.0
2019-01-10,18:00 - 19:00,1.57716166666e-05,-9.999,0.0,0.002,0.0,18.0,7.0
2019-01-10,19:00 - 20:00,5.4711444444e-06,-9.999,0.0,-0.001,0.0,36.0,10.0
2019-01-10,20:00 - 21:00,5.3351388888e-06,-9.999,0.0,0.0,0.0,51.0,18.0
2019-01-10,21:00 - 22:00,5.8051583333e-06,-9.999,0.0,0.0,0.0,53.0,17.0
2019-01-10,22:00 - 23:00,1.42308527777e-05,-9.999,0.0,0.0,0.0,57.0,19.0
2019-01-10,23:00 - 0:00,0.0,-9.999,-9.999,0.007,-9999.0,16.0,1.0
2019-01-10,0:00 - 1:00,4.4788222222e-06,-9.999,-9.999,0.004,-9999.0,22.0,2.0
2019-01-10,1:00 - 2:00,5.3329583333e-06,-9.999,-9.999,-0.002,-9999.0,22.0,2.0
2019-01-10,2:00 - 3:00,9.64152777777778e-07,-9.999,-9.999,0.001,-9999.0,22.0,11.0
2019-01-10,3:00 - 4:00,6.00883333333333e-07,-9.999,-9.999,0.007,-9999.0,12.0,4.0
2019-01-10,4:00 - 5:00,0.0,-9.999,-9.999,0.005,-9999.0,6.0,3.0
2019-01-10,5:00 - 6:00,4.91411111111111e-07,-9.999,-9.999,0.001,-9999.0,11.0,3.0
2019-01-10,6:00 - 7:00,2.07037444444e-05,-9.999,-9.999,-0.003,-9999.0,17.0,1.0
2019-01-10,7:00 - 8:00,1.43600583333e-05,-9.999,-9.999,-9.999,-9999.0,37.0,21.0
2019-01-10,8:00 - 9:00,2.38767361111e-05,-9.999,-9.999,-9.999,-9999.0,32.0,10.0
2019-01-10,9:00 - 10:00,0.0077861349088145,-9.999,-9.999,0.015,-9999.0,39.0,6.0
2019-01-10,10:00 - 11:00,0.0074074486350974,-9.999,-9.999,0.018,-9999.0,42.0,15.0
2019-01-10,11:00 - 12:00,0.007541191140845,-9.999,0.0,0.024,0.0,41.0,12.0
2019-01-10,12:00 - 13:00,0.0002319337416666,-9.999,0.0,0.0,0.0,46.0,22.0
2019-01-10,13:00 - 14:00,0.0004603276277777,-9.999,0.0,0.0,0.0,42.0,22.0
2019-01-11,14:00 - 15:00,0.0069780325446927,0.0,0.0,0.073,0.0,33.0,18.0
2019-01-11,15:00 - 16:00,0.0072723258746518,0.0,0.0,0.062,0.0,38.0,13.0
2019-01-11,16:00 - 17:00,0.0001692304722222,0.0,0.0,0.0,0.0,50.0,16.0
2019-01-11,17:00 - 18:00,0.0068470740557103,0.0,0.0,0.0,0.0,107.0,39.0
2019-01-11,18:00 - 19:00,1.96565555555e-05,0.0,0.0,0.0,0.0,43.0,16.0
2019-01-11,19:00 - 20:00,3.09614749999e-05,0.0,0.0,0.0,0.0,36.0,13.0
2019-01-11,20:00 - 21:00,3.65229666666e-05,0.0,0.0,0.0,0.0,39.0,19.0
2019-01-11,21:00 - 22:00,6.87518472222e-05,0.0,0.0,0.0,0.0,55.0,17.0
2019-01-11,22:00 - 23:00,5.41217333333e-05,0.0,0.0,0.0,0.0,66.0,23.0
2019-01-11,23:00 - 0:00,0.0,0.0,0.0,0.0,0.0,65.0,5.0
2019-01-11,0:00 - 1:00,1.06509777777e-05,0.0,0.0,0.0,0.0,74.0,27.0
2019-01-11,1:00 - 2:00,0.0,0.0,0.0,0.0,0.0,66.0,23.0
2019-01-11,2:00 - 3:00,3.54275e-06,0.0,0.0,0.0,0.0,52.0,15.0
2019-01-11,3:00 - 4:00,0.0,0.0,0.0,0.0,0.0,49.0,25.0
2019-01-11,4:00 - 5:00,8.1462944444e-06,0.0,0.0,0.0,0.0,45.0,10.0
2019-01-11,5:00 - 6:00,8.8862972222e-06,0.0,0.0,0.0,0.0,34.0,9.0
2019-01-11,6:00 - 7:00,0.0001002704388888,0.0,0.0,0.0,0.0,43.0,13.0
2019-01-11,7:00 - 8:00,8.69311805555e-05,0.0,0.0,0.0,0.0,57.0,19.0
2019-01-11,8:00 - 9:00,0.0001459957194444,0.0,0.0,0.0,0.0,49.0,15.0
2019-01-11,9:00 - 10:00,0.0009444474972222,0.0,0.0,0.0,0.0,61.0,20.0
2019-01-11,10:00 - 11:00,0.0008892598277777,0.0,0.0,0.0,0.0,37.0,21.0
2019-01-11,11:00 - 12:00,0.0009180382305555,0.0,0.0,0.0,0.0,41.0,14.0
2019-01-11,12:00 - 13:00,0.007137945470752,0.0,0.0,0.0,0.0,54.0,31.0
2019-01-11,13:00 - 14:00,0.0216169009438202,0.0,0.0,0.07,0.0,41.0,17.0
2019-01-12,14:00 - 15:00,0.0005067086861111,0.0,-9.999,-9.999,-9999.0,70.0,24.0
2019-01-12,15:00 - 16:00,0.0001150256027777,0.0,-9.999,-9.999,-9999.0,75.0,30.0
2019-01-12,16:00 - 17:00,0.0032577591694444,0.0,-9.999,-9.999,-9999.0,79.0,30.0
2019-01-12,17:00 - 18:00,0.0036191632166666,0.0,-9.999,-9.999,-9999.0,57.0,15.0
2019-01-12,18:00 - 19:00,0.0030947488472222,0.0,-9.999,-9.999,-9999.0,40.0,18.0
2019-01-12,19:00 - 20:00,0.0018824132333333,0.0,-9.999,-9.999,-9999.0,40.0,19.0
2019-01-12,20:00 - 21:00,0.0002066575444444,0.0,-9.999,-9.999,-9999.0,23.0,15.0
2019-01-12,21:00 - 22:00,1.17784527777e-05,0.0,-9.999,-9.999,-9999.0,34.0,13.0
2019-01-12,22:00 - 23:00,5.1559527777e-06,0.0,-9.999,-9.999,-9999.0,20.0,22.0
2019-01-12,23:00 - 0:00,1.95461638888e-05,0.0,0.0,0.0,0.0,64.0,23.0
2019-01-12,0:00 - 1:00,7.3026583333e-06,0.0,0.0,0.0,0.0,53.0,20.0
2019-01-12,1:00 - 2:00,1.4249138888e-06,0.0,0.0,0.0,0.0,78.0,30.0
2019-01-12,2:00 - 3:00,7.2668666666e-06,0.0,0.0,0.0,0.0,90.0,33.0
2019-01-12,3:00 - 4:00,2.39767333333e-05,0.0,0.0,0.0,0.0,89.0,33.0
2019-01-12,4:00 - 5:00,4.56845e-06,0.0,0.0,0.0,0.0,84.0,36.0
2019-01-12,5:00 - 6:00,0.0,0.0,0.0,0.0,0.0,57.0,19.0
2019-01-12,6:00 - 7:00,5.21574194444e-05,0.0,0.0,0.0,0.0,55.0,30.0
2019-01-12,7:00 - 8:00,2.11151611111e-05,0.0,0.0,0.0,0.0,47.0,18.0
2019-01-12,8:00 - 9:00,8.00986805555e-05,0.0,0.0,0.0,0.0,41.0,17.0
2019-01-12,9:00 - 10:00,0.0089276573055555,0.0,0.0,0.0,0.0,54.0,18.0
2019-01-12,10:00 - 11:00,0.0016017745416666,0.0,-9.999,-9.999,-9999.0,51.0,19.0
2019-01-12,11:00 - 12:00,0.0016846550555555,0.0,-9.999,-9.999,-9999.0,37.0,20.0
2019-01-12,12:00 - 13:00,0.0013680621083333,0.0,-9.999,-9.999,-9999.0,62.0,30.0
2019-01-12,13:00 - 14:00,0.0008442488416666,0.0,-9.999,-9.999,-9999.0,61.0,29.0
2019-01-13,14:00 - 15:00,0.0001234144194444,-9.999,-9.999,0.054,-9999.0,23.0,7.0
2019-01-13,15:00 - 16:00,4.31984888888e-05,-9.999,-9.999,-9.999,-9999.0,23.0,11.0
2019-01-13,16:00 - 17:00,1.44609916666e-05,-9.999,-9.999,-9.999,-9999.0,29.0,12.0
2019-01-13,17:00 - 18:00,9.0366166666e-06,-9.999,-9.999,-9.999,-9999.0,45.0,17.0
2019-01-13,18:00 - 19:00,1.3944138888e-06,-9.999,-9.999,-9.999,-9999.0,48.0,20.0
2019-01-13,19:00 - 20:00,0.0,-9.999,-9.999,-9.999,-9999.0,65.0,23.0
2019-01-13,20:00 - 21:00,8.27265e-06,-9.999,-9.999,-9.999,-9999.0,55.0,22.0
2019-01-13,21:00 - 22:00,4.0917416666e-06,-9.999,-9.999,-9.999,-9999.0,35.0,18.0
2019-01-13,22:00 - 23:00,0.0075396344135802,-9.999,-9.999,-9.999,-9999.0,39.0,21.0
2019-01-13,23:00 - 0:00,2.3322722222e-06,-9.999,-9.999,-9.999,-9999.0,16.0,4.0
